expression,expression_count
 07883 ,4
07883  10135,2
 10135 hey,2
10135 hey gorgeous,2
hey gorgeous how's,2
gorgeous how's it,2
how's it going,20
it going dehydrated,2
going dehydrated japanese,2
dehydrated japanese noodles,2
japanese noodles under,2
noodles under fluorescent,2
under fluorescent lights,2
fluorescent lights does,2
lights does it,2
does it get,2
it get better,2
get better than,2
better than this,2
than this question,2
this question you're,2
question you're not,2
you're not dating,4
not dating are,2
dating are you,2
are you i,16
you i met,2
i met somebody,2
met somebody who,2
somebody who would,2
who would be,2
would be perfect,8
be perfect for,2
perfect for you,4
for you you,4
you you see,2
you see perfect,2
see perfect might,2
perfect might be,2
might be a,2
be a problem,2
a problem had,2
problem had you,2
had you said,2
you said codependent,2
said codependent or,2
codependent or selfdestructive,2
or selfdestructive you,2
selfdestructive you want,2
you want a,2
want a date,2
a date saturday,2
date saturday yes,2
saturday yes please,2
yes please he,2
please he is,2
he is cute,2
is cute he's,2
cute he's funny,2
he's funny he's,2
funny he's he's,2
he's he's a,4
he's a he,2
a he well,2
he well yeah,2
well yeah oh,2
yeah oh god,2
oh god i,18
god i just,4
i just you're,2
just you're nice,2
you're nice oh,2
nice oh god,2
oh god good,2
god good shelly,2
good shelly okay,2
shelly okay i'm,2
okay i'm gonna,12
i'm gonna go,21
gonna go flush,2
go flush myself,2
flush myself down,2
myself down the,2
down the toilet,2
the toilet now,2
toilet now okay,2
now okay byebye,2
okay byebye chandler,2
byebye chandler it's,2
chandler it's hard,2
it's hard to,4
hard to enjoy,2
to enjoy noodles,2
enjoy noodles after,2
noodles after that,2
after that is,2
that is that,2
is that ridiculous,2
that ridiculous can,2
ridiculous can you,2
can you believe,12
you believe she,2
believe she actually,2
she actually thought,2
actually thought that,2
thought that urn,2
that urn yeah,2
urn yeah well,2
yeah well when,2
well when i,2
when i first,4
i first met,2
first met you,2
met you i,4
you i thought,4
i thought maybe,2
thought maybe possibly,2
maybe possibly you,2
possibly you might,2
you might be,6
might be you,4
